epoch,accuracy,loss,val_accuracy,val_loss
0,0.19721448421478271,1.0847001753577062e+17,NA,NA
1,0.03142990171909332,2.071111570334679e+17,NA,NA
2,0.19140464067459106,5.446966516509573e+17,NA,NA
0,0.04378599673509598,3.997356986151731e+17,NA,NA
1,0.16398464143276215,5.202617580702925e+17,NA,NA
2,0.25666189193725586,1.9633238341236818e+18,NA,NA
0,0.24857129156589508,1.4085986399949947e+18,NA,NA
1,0.26406246423721313,4.401433556673364e+18,NA,NA
2,0.2639578878879547,1.6635778603774116e+18,NA,NA
0,0.2683030366897583,1.5124468260436705e+18,NA,NA
1,0.2685270607471466,3.915634959783559e+18,NA,NA
